2016-05-31 13:58:30;Inne;24.8;42
2016-05-31 13:59:30;Inne;24.8;42
2016-05-31 13:59:43;Ute;25.2;39
2016-05-31 14:00:30;Inne;24.8;43
2016-05-31 14:00:43;Ute;25.3;39
2016-05-31 14:01:30;Inne;24.8;42
2016-05-31 14:01:43;Ute;25.3;39
2016-05-31 14:02:30;Inne;24.8;42
2016-05-31 14:02:43;Ute;25.4;38
2016-05-31 14:03:30;Inne;24.9;42
2016-05-31 14:04:30;Inne;24.9;42
2016-05-31 14:04:42;Ute;25.4;39
2016-05-31 14:05:29;Inne;24.9;42
2016-05-31 14:05:42;Ute;25.3;39
2016-05-31 14:06:29;Inne;24.9;42
2016-05-31 14:06:42;Ute;25.3;38
2016-05-31 14:07:29;Inne;24.9;42
2016-05-31 14:07:42;Ute;25.3;39
2016-05-31 14:08:29;Inne;24.9;42
2016-05-31 14:09:42;Ute;25.3;38
2016-05-31 14:10:29;Inne;24.9;42
2016-05-31 14:10:42;Ute;25.3;39
2016-05-31 14:11:29;Inne;24.9;42
2016-05-31 14:11:41;Ute;25.3;40
2016-05-31 14:12:28;Inne;24.9;42
2016-05-31 14:12:41;Ute;25.4;40
2016-05-31 14:13:28;Inne;24.9;42
2016-05-31 14:14:28;Inne;24.9;42
2016-05-31 14:14:41;Ute;25.6;39
2016-05-31 14:15:28;Inne;24.9;42
2016-05-31 14:15:41;Ute;25.7;40
2016-05-31 14:16:28;Inne;24.9;42
2016-05-31 14:16:41;Ute;25.7;39
2016-05-31 14:17:28;Inne;24.9;42
2016-05-31 14:17:41;Ute;25.7;39
2016-05-31 14:18:28;Inne;24.9;42
2016-05-31 14:19:27;Inne;24.9;42
2016-05-31 14:19:40;Ute;25.7;38
2016-05-31 14:20:27;Inne;24.9;42
2016-05-31 14:20:40;Ute;25.7;39
2016-05-31 14:21:27;Inne;24.9;42
2016-05-31 14:21:40;Ute;25.7;39
2016-05-31 14:22:27;Inne;24.9;42
2016-05-31 14:22:40;Ute;25.7;39
2016-05-31 14:23:27;Inne;24.9;42
2016-05-31 14:24:27;Inne;24.9;42
2016-05-31 14:24:40;Ute;25.7;38
2016-05-31 14:25:27;Inne;24.9;42
2016-05-31 14:25:39;Ute;25.7;38
2016-05-31 14:26:26;Inne;24.9;42
2016-05-31 14:26:39;Ute;25.8;39
2016-05-31 14:27:26;Inne;24.9;42
2016-05-31 14:27:39;Ute;25.8;39
2016-05-31 14:28:26;Inne;24.9;42
2016-05-31 14:29:26;Inne;24.9;42
